task                                      metric     value
----------------------------------------------------------
mmlu                                      acc       0.5817
mmlu_abstract_algebra                     acc       0.2900
mmlu_anatomy                              acc       0.5333
mmlu_astronomy                            acc       0.6842
mmlu_business_ethics                      acc       0.6200
mmlu_clinical_knowledge                   acc       0.6906
mmlu_college_biology                      acc       0.6389
mmlu_college_chemistry                    acc       0.3600
mmlu_college_computer_science             acc       0.5000
mmlu_college_mathematics                  acc       0.3000
mmlu_college_medicine                     acc       0.6416
mmlu_college_physics                      acc       0.3922
mmlu_computer_security                    acc       0.7200
mmlu_conceptual_physics                   acc       0.5745
mmlu_econometrics                         acc       0.4912
mmlu_electrical_engineering               acc       0.5241
mmlu_elementary_mathematics               acc       0.4233
mmlu_formal_logic                         acc       0.4683
mmlu_global_facts                         acc       0.2500
mmlu_high_school_biology                  acc       0.7452
mmlu_high_school_chemistry                acc       0.4828
mmlu_high_school_computer_science         acc       0.5900
mmlu_high_school_european_history         acc       0.7636
mmlu_high_school_geography                acc       0.7576
mmlu_high_school_government_and_politics  acc       0.7927
mmlu_high_school_macroeconomics           acc       0.6333
mmlu_high_school_mathematics              acc       0.3259
mmlu_high_school_microeconomics           acc       0.6933
mmlu_high_school_physics                  acc       0.3444
mmlu_high_school_psychology               acc       0.8202
mmlu_high_school_statistics               acc       0.4306
mmlu_high_school_us_history               acc       0.7402
mmlu_high_school_world_history            acc       0.7848
mmlu_human_aging                          acc       0.6368
mmlu_human_sexuality                      acc       0.6947
mmlu_humanities                           acc       0.5224
mmlu_international_law                    acc       0.7521
mmlu_jurisprudence                        acc       0.7500
mmlu_logical_fallacies                    acc       0.7607
mmlu_machine_learning                     acc       0.4375
mmlu_management                           acc       0.7573
mmlu_marketing                            acc       0.8291
mmlu_medical_genetics                     acc       0.6500
mmlu_miscellaneous                        acc       0.7267
mmlu_moral_disputes                       acc       0.6676
mmlu_moral_scenarios                      acc       0.2447
mmlu_nutrition                            acc       0.6732
mmlu_other                                acc       0.6479
mmlu_philosophy                           acc       0.6367
mmlu_prehistory                           acc       0.6790
mmlu_professional_accounting              acc       0.4752
mmlu_professional_law                     acc       0.4172
mmlu_professional_medicine                acc       0.6397
mmlu_professional_psychology              acc       0.5931
mmlu_public_relations                     acc       0.6091
mmlu_security_studies                     acc       0.6531
mmlu_social_sciences                      acc       0.6926
mmlu_sociology                            acc       0.7861
mmlu_stem                                 acc       0.4967
mmlu_us_foreign_policy                    acc       0.7400
mmlu_virology                             acc       0.4217
mmlu_world_religions                      acc       0.7719
